C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKFL766 509 O EK 04/09/2021 18:30 57366 London                                             15035 Cardiff

EUKFL787 509 I E7 04/09/2021 06:10 15255 Newport [S.Wales]                                  57366 London

EUKFL787 509 O E9 05/09/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFL822 509 O E1 08/08/2021 08:30 57366 London                                             15010 Cardiff Univers

EUKFM037 509 O EK 26/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFM050 509 O E9 02/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFM050 509 I EF 07/08/2021 12:45 15035 Cardiff                                            57366 London

EUKFM223 509 O E3 29/07/2021 08:30 57366 London                                             15035 Cardiff

EUKFM241 509 O EI 14/08/2021 18:00 57366 London                                             15035 Cardiff

EUKFM328 509 O E5 20/07/2021 11:00 57366 London                                             15010 Cardiff Univers

EUKFM352 509 O EI 22/08/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFM418 509 O E1 31/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFM503 509 I EE 22/07/2021 11:45 15035 Cardiff                                            57366 London

EUKFM503 509 O E4 26/07/2021 10:30 57366 London                                             15035 Cardiff

EUKFM512 509 I ED 20/11/2021 10:45 15255 Newport [S.Wales]                                  57366 London

EUKFM512 509 O E4 28/11/2021 10:30 57366 London                                             15255 Newport [S.Wale

EUKFM514 509 I EB 10/09/2021 09:15 15255 Newport [S.Wales]                                  57366 London

EUKFM514 509 O E9 12/09/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFM551 509 I ER 23/08/2021 17:15 15035 Cardiff                                            57366 London

EUKFM551 509 O EF 29/08/2021 16:30 57366 London                                             15035 Cardiff

EUKFM584 509 I EC 18/08/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFM584 509 O EA 20/08/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFM594 509 I EK 22/07/2021 14:45 15035 Cardiff                                            57366 London

EUKFM607 509 O EQ 26/07/2021 23:00 57366 London                                             15035 Cardiff

EUKFM631 509 I EB 10/09/2021 09:15 15255 Newport [S.Wales]                                  57366 London

EUKFM631 509 O E9 12/09/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFM665 509 O E2 23/07/2021 08:30 57366 London                                             15035 Cardiff

EUKFM723 509 I EC 27/07/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFM723 509 O EL 27/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFM817 509 I E7 28/08/2021 06:10 15255 Newport [S.Wales]                                  57366 London

EUKFM817 509 O EK 30/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFM947 509 I EB 14/08/2021 09:15 15035 Cardiff                                            57366 London

EUKFM947 509 O EC 16/08/2021 14:30 57366 London                                             15035 Cardiff

EUKFN056 509 I E8 17/09/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFN056 509 O EB 19/09/2021 14:30 57366 London                                             15255 Newport [S.Wale

EUKFN077 509 O EH 21/07/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKFN148 509 O E7 23/07/2021 11:30 57366 London                                             15035 Cardiff

EUKFN204 509 O E2 02/08/2021 08:30 57366 London                                             15035 Cardiff

EUKFN209 509 I EP 21/07/2021 16:15 15035 Cardiff                                            57366 London

EUKFN227 509 I EB 23/07/2021 09:15 15010 Cardiff University                                 57366 London

EUKFN227 509 O EO 25/07/2021 21:30 57366 London                                             15010 Cardiff Univers

EUKFN455 509 O EE 22/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFN718 509 I EG 23/07/2021 12:45 15035 Cardiff                                            57366 London

EUKFN718 509 O EG 26/07/2021 16:30 57366 London                                             15035 Cardiff

EUKFN824 509 O EC 06/09/2021 14:30 57366 London                                             15255 Newport [S.Wale

EUKFN861 509 O E8 20/07/2021 12:30 57366 London                                             15135 Cardiff (Castle

EUKFN915 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFP035 509 O E4 06/08/2021 10:30 57366 London                                             15035 Cardiff

EUKFP035 509 I EI 08/08/2021 13:45 15035 Cardiff                                            57366 London

EUKFP058 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFP076 509 I EA 24/07/2021 07:45 15035 Cardiff                                            57366 London

EUKFP076 509 O E6 25/07/2021 11:30 57366 London                                             15035 Cardiff

EUKFP079 509 I E7 07/08/2021 06:10 15035 Cardiff                                            57366 London

EUKFP079 509 O E9 08/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFP152 509 O E8 21/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFP168 509 O EL 22/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFP222 509 I EM 30/07/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKFP222 509 O EK 01/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFP355 509 O EL 22/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFP357 509 I EC 21/07/2021 09:45 15010 Cardiff University                                 57366 London

EUKFP357 509 O EE 22/07/2021 15:30 57366 London                                             15010 Cardiff Univers

EUKFP359 509 I EE 20/07/2021 11:45 15035 Cardiff                                            57366 London

EUKFP482 509 O EP 22/07/2021 22:00 57366 London                                             15035 Cardiff

EUKFP516 509 O EI 01/08/2021 18:00 57366 London                                             15115 Cardiff (Gabalf

EUKFP610 509 I E8 26/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFP610 509 O EE 28/07/2021 15:30 57366 London                                             15255 Newport [S.Wale

EUKFP875 509 I EC 21/07/2021 09:45 15010 Cardiff University                                 57366 London

EUKFR055 509 O E4 23/08/2021 10:30 57366 London                                             15255 Newport [S.Wale

EUKFR055 509 I EM 27/08/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKFR177 509 O E4 23/07/2021 10:30 57366 London                                             15035 Cardiff

EUKFR229 509 O EM 22/07/2021 20:30 57366 London                                             15035 Cardiff

EUKFR468 509 I EP 21/07/2021 16:15 15255 Newport [S.Wales]                                  57366 London

EUKFR766 509 O EA 30/07/2021 12:30 57366 London                                             15135 Cardiff (Castle

EUKFR801 509 I E8 23/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFR801 509 O EJ 23/07/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFR821 509 I E8 23/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFR821 509 O EJ 23/07/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFR890 509 O EA 06/08/2021 12:30 57366 London                                             15135 Cardiff (Castle

EUKFS027 509 I E8 27/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFS027 509 O EK 29/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFS085 509 O E4 23/07/2021 10:30 57366 London                                             15035 Cardiff

EUKFS085 509 I EQ 24/07/2021 17:15 15035 Cardiff                                            57366 London

EUKFS086 509 I EA 25/09/2021 07:45 15255 Newport [S.Wales]                                  57366 London

EUKFS086 509 O EK 25/09/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFS188 509 I E3 26/07/2021 04:20 15255 Newport [S.Wales]                                  57366 London

EUKFS188 509 O EJ 26/07/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFS300 509 I EA 24/07/2021 07:45 15010 Cardiff University                                 57366 London

EUKFS300 509 O EK 24/07/2021 18:30 57366 London                                             15010 Cardiff Univers

EUKFS474 509 I EH 22/07/2021 13:15 15035 Cardiff                                            57366 London

EUKFS474 509 O EK 24/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFS620 509 O EE 20/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFS898 509 I E6 26/07/2021 05:25 15255 Newport [S.Wales]                                  57366 London

EUKFS898 509 O E8 28/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFS954 509 I E4 07/08/2021 04:55 15010 Cardiff University                                 57366 London

EUKFS954 509 O E1 08/08/2021 08:30 57366 London                                             15010 Cardiff Univers

EUKFT048 509 O E6 25/07/2021 11:30 57366 London                                             15035 Cardiff

EUKFT085 509 O E7 20/08/2021 11:30 57366 London                                             15035 Cardiff

EUKFT085 509 I ED 23/08/2021 10:45 15035 Cardiff                                            57366 London

EUKFT129 509 O E6 01/08/2021 11:30 57366 London                                             15035 Cardiff

EUKFT129 509 I EH 05/08/2021 13:15 15035 Cardiff                                            57366 London

EUKFT151 509 I EC 03/08/2021 09:45 15035 Cardiff                                            57366 London

EUKFT151 509 O E8 25/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFT169 509 O E3 28/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFT256 509 I E6 23/07/2021 05:25 15255 Newport [S.Wales]                                  57366 London

EUKFT256 509 O EK 25/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFT302 509 O EL 22/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFT592 509 O E8 27/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFT592 509 I EC 28/09/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFT719 509 I EB 21/08/2021 09:15 15255 Newport [S.Wales]                                  57366 London

EUKFT719 509 O E4 23/08/2021 10:30 57366 London                                             15255 Newport [S.Wale

EUKFT733 509 O EO 26/07/2021 21:30 57366 London                                             15135 Cardiff (Castle

EUKFT975 509 I EJ 30/07/2021 13:45 15035 Cardiff                                            57366 London

EUKFT975 509 O E1 31/07/2021 08:30 57366 London                                             15035 Cardiff

EUKFU083 509 O EK 14/08/2021 18:30 57366 London                                             15035 Cardiff

EUKFU215 509 O EG 30/07/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKFU215 509 I EQ 01/08/2021 17:15 15255 Newport [S.Wales]                                  57366 London

EUKFU279 509 O E5 01/09/2021 11:00 57366 London                                             15035 Cardiff

EUKFU441 509 I E7 08/08/2021 06:10 15255 Newport [S.Wales]                                  57366 London

EUKFU441 509 O EQ 08/08/2021 23:00 57366 London                                             15255 Newport [S.Wale

EUKFU663 509 I EE 20/07/2021 11:45 15035 Cardiff                                            57366 London

EUKFU663 509 O EE 22/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFU695 509 I EC 21/07/2021 09:45 15135 Cardiff (Castle)                                   57366 London

EUKFU695 509 O EE 22/07/2021 15:30 57366 London                                             15135 Cardiff (Castle

EUKFU697 509 O EI 07/08/2021 18:00 57366 London                                             15035 Cardiff

EUKFU714 509 O EN 07/08/2021 20:30 57366 London                                             15035 Cardiff

EUKFU784 509 O EE 22/07/2021 15:30 57366 London                                             15255 Newport [S.Wale

EUKFU926 509 O EO 01/08/2021 21:30 57366 London                                             15255 Newport [S.Wale

EUKFU936 509 O E4 02/08/2021 10:30 57366 London                                             15035 Cardiff

EUKFV033 509 O EH 20/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFV083 509 I EC 20/07/2021 09:45 15010 Cardiff University                                 57366 London

EUKFV083 509 O EH 21/07/2021 17:30 57366 London                                             15010 Cardiff Univers
