C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKEW840 509 O EQ 30/07/2021 23:00 57366 London                                             15255 Newport [S.Wale

EUKEW866 509 I E8 26/07/2021 07:15 15035 Cardiff                                            57366 London

EUKEW866 509 O EA 30/07/2021 12:30 57366 London                                             15035 Cardiff

EUKEW915 509 I ED 16/08/2021 10:45 15035 Cardiff                                            57366 London

EUKEW915 509 O E5 19/08/2021 11:00 57366 London                                             15035 Cardiff

EUKEX044 509 O E6 22/08/2021 11:30 57366 London                                             15345 Chepstow

EUKEX207 509 I EC 21/07/2021 09:45 15035 Cardiff                                            57366 London

EUKEX207 509 O E6 26/07/2021 11:30 57366 London                                             15035 Cardiff

EUKEX217 509 I EH 05/08/2021 13:15 15035 Cardiff                                            57366 London

EUKEX217 509 O E9 09/08/2021 12:30 57366 London                                             15035 Cardiff

EUKEX374 509 O EG 30/07/2021 16:30 57366 London                                             15035 Cardiff

EUKEX404 509 O E9 29/08/2021 12:30 57366 London                                             15035 Cardiff

EUKEX416 509 O EG 02/08/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKEX416 509 I ER 09/08/2021 17:15 15255 Newport [S.Wales]                                  57366 London

EUKEX575 509 O EM 17/08/2021 20:30 57366 London                                             15135 Cardiff (Castle

EUKEX665 509 O E4 24/07/2021 10:30 57366 London                                             15035 Cardiff

EUKEX665 509 I EN 25/07/2021 16:00 15035 Cardiff                                            57366 London

EUKEX765 509 I EM 27/08/2021 15:00 15035 Cardiff                                            57366 London

EUKEX765 509 O EK 29/08/2021 18:30 57366 London                                             15035 Cardiff

EUKEX795 509 O E5 03/08/2021 11:00 57366 London                                             15035 Cardiff

EUKEX795 509 I EO 06/08/2021 16:00 15035 Cardiff                                            57366 London

EUKEX919 509 O EG 20/08/2021 16:30 57366 London                                             15035 Cardiff

EUKEX919 509 I ER 23/08/2021 17:15 15035 Cardiff                                            57366 London

EUKEX927 509 O EG 02/08/2021 16:30 57366 London                                             15010 Cardiff Univers

EUKEX934 509 O E6 22/08/2021 11:30 57366 London                                             15345 Chepstow

EUKEX989 509 O E4 27/08/2021 10:30 57366 London                                             15035 Cardiff

EUKEX989 509 I ED 30/08/2021 10:45 15035 Cardiff                                            57366 London

EUKEY075 509 I E9 28/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKEY075 509 O EO 31/07/2021 21:30 57366 London                                             15255 Newport [S.Wale

EUKEY157 509 I E9 02/09/2021 07:15 15035 Cardiff                                            57366 London

EUKEY157 509 O EE 02/09/2021 15:30 57366 London                                             15035 Cardiff

